id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
1QjmxwdvxgviVUEagqGhoj,Someone to Watch Over Me - Live,Piano Starts Here,1FCIddh80qKhpueDBsLNfr,['Art Tatum'],['3DtSOCXYU6o4EV0K1NgIKq'],7,1,False,0.451,0.231,0,-16.944000000000006,1,0.0391,0.9940000000000001,0.9279999999999999,0.193,0.42200000000000004,89.708,206307,4.0,1933,1933
5g5dQnjKojf17M4KVCl82L,Dear Future Self,Admissions,7xiRSU6wcl7qehl0kXpmZy,"[""Any O'Neill"", 'Cee Cee']","['6YqqIjZv6OerO3XozPxfO3', '6gkaFQdFFbofaSqRuttHdH']",3,1,False,0.617,0.485,0,-4.975,1,0.0313,0.573,0.0,0.0528,0.586,139.988,217500,4.0,2014,2014-11-29
162MxecfWmstm59Udyya4S,Meet Me in the Street,Need to Feel Your Love,4TDs45eAaIN56dI2FgZObB,['Sheer Mag'],['58ehndX799ZV9Jcv6IefJ1'],1,1,False,0.586,0.905,2,-4.7989999999999995,1,0.0896,0.0184,0.895,0.613,0.7240000000000001,154.13,191814,4.0,2017,2017-07-14
7MNrYzplNzvZSTcEpOyHvr,Morning Beacon,Of The Apple,4lI7Adn1OxlT4Oxh5NiD16,['Milieu'],['1wI0J2ZhJdaZOPBbt3LnWF'],1,1,False,0.0596,0.12,6,-24.076999999999998,1,0.0431,0.7120000000000001,0.813,0.7509999999999999,0.0291,62.633,274360,5.0,2007,2007-01-01
68aIr8XLuNj1fSv9mRpo5Z,"String Quartet No. 6 in B-Flat Major, Op. 18/6: III. Scherzo. Allegro",Juilliard String Quartet - The Beethoven Quartets 1964 - 1970 (Remastered),5qPG7SvlNHeLrcX1u436N0,"['Ludwig van Beethoven', 'Juilliard String Quartet']","['2wOqMjp9TyABvtHdOSOTUS', '10viy7E6l3QXaWVz1PuGGP']",7,3,False,0.557,0.29100000000000004,10,-16.572,1,0.136,0.929,0.695,0.0949,0.938,183.697,186880,3.0,1971,1971
0nc0AtFJOd6PrjribShI9t,Changing Of The Guards,Cold War Classic,1FKbvTchcFmOUGfWid2CdE,['The Chrysler'],['1dQ8GuCTA6yhKmqiXsCiaz'],15,1,False,0.292,0.42200000000000004,2,-6.58,0,0.0305,0.773,0.0,0.142,0.177,141.416,338547,5.0,2007,2007-04-17
2LKpNN5AjwoJzEdUcw8FnI,This Is a Song,Shanti Project Collection 2,7CAuZdJ6sKPX4UUe6tHfCN,['Paula Frazer'],['72ZTVVsOrHbZps2XgHuvGa'],5,1,False,0.521,0.759,7,-6.172999999999999,1,0.049,0.17600000000000002,0.0,0.0701,0.787,120.757,178587,4.0,2000,2000
4Hk2Kn7nuPCbUQIM9Ow69u,Makin' Me Feel,Dr. Dolittle 2,6U0L2vVLrvLdSO9Gnet8iT,['Angie Stone'],['2hWr3AjjKOCVmWcwvuT4uM'],10,1,False,0.609,0.828,11,-7.1979999999999995,0,0.0614,0.0501,9.86e-05,0.0343,0.639,179.446,246133,4.0,2001,2001-06-15
1jzFWBNt3AdqrMuC5Y7Cq4,Prey for Your Death,"Fear, Prey, Demise",696gJjtoueAnwN1x5Jp5ZK,['Hidden Intent'],['6k4QusZRtp1eIvIZLbUTSh'],1,1,False,0.233,0.995,10,-3.9610000000000003,1,0.213,1.0300000000000001e-05,0.000739,0.0979,0.0653,105.094,243427,4.0,2018,2018-07-06
1tlFJ7WQ5FeIXhRa2Mt87x,Could Have Been Christmas,World Tour and Other Destinations,5XaXGxojrSKsR7t8Xr7j5Z,['Tsunami'],['4nYZwJrT4QukNO5FqaDcW3'],10,1,False,0.301,0.24,2,-16.766,1,0.0315,0.809,0.008,0.139,0.122,101.289,269307,3.0,1995,1995
